pair_id,source_type,source_file,training_bucket,model_a,model_b,family_a,family_b,n_tensors,n_skipped,n_modules,n_svd_modules,mean_frob_norm_relative,mean_cosine_sim,mean_concentration_top_k,oq_weight,oq_weight_type,oq_naive,oq_naive_type,oq_abs_delta_naive_vs_weight,oq_rel_delta_naive_vs_weight,o_weight_n,o_bias_n,q_weight_n,q_bias_n,qkv_weight_n,qkv_bias_n,bias_asymmetry_flag,bias_leak_flag,duplicate_group,duplicate_count,duplicate_rank,is_canonical,include_in_paper
G2_phi4_to_phi4_reasoning_plus,full_report,G2_phi4_to_phi4_reasoning_plus.json,G2,microsoft/phi-4,microsoft/Phi-4-reasoning-plus,Phi,Phi,243,0,243,162,0.029578,0.999999,0.094455,1.075529,O/QKV,1.075529,O/QKV,0.000000,0.000000,40,0,0,0,40,0,0,0,,1,1,1,1
G3_exaone35_7b_to_exaone_deep_7b,full_report,G3_exaone35_7b_to_exaone_deep_7b.json,G3,LGAI-EXAONE/EXAONE-3.5-7.8B-Instruct,LGAI-EXAONE/EXAONE-Deep-7.8B,EXAONE,EXAONE,291,0,291,226,0.207902,0.977324,0.065517,1.251999,O/Q,1.251999,O/Q,0.000000,0.000000,32,0,32,0,0,0,0,0,,1,1,1,1
G6_qwen25_32b_to_s1_32b,full_report,G6_qwen25_32b_to_s1_32b.json,G6,Qwen/Qwen2.5-32B-Instruct,simplescaling/s1-32B,Qwen,simplescaling,771,0,771,450,0.003395,1.000000,0.274860,0.905104,O/Q,1.772998,O/Q,0.867894,0.958889,64,0,64,64,0,0,1,1,,1,1,1,1
L1_mistral7b_dolphin21_qlora,full_report,L1_mistral7b_dolphin21_qlora.json,L1,mistralai/Mistral-7B-v0.1,cognitivecomputations/dolphin-2.1-mistral-7b,Mistral,Mistral,289,2,289,224,0.017598,0.999925,0.163245,1.808242,O/Q,1.808242,O/Q,0.000000,0.000000,32,0,32,0,0,0,0,0,,1,1,1,1
L2_mistral7b_dolphin221_qlora,full_report,L2_mistral7b_dolphin221_qlora.json,L2,mistralai/Mistral-7B-v0.1,cognitivecomputations/dolphin-2.2.1-mistral-7b,Mistral,Mistral,289,2,289,224,0.012697,0.999955,0.206356,2.022250,O/Q,2.022250,O/Q,0.000000,0.000000,32,0,32,0,0,0,0,0,,1,1,1,1
L3_mistral7b_openhermes25_full_sft,full_report,L3_mistral7b_openhermes25_full_sft.json,L3,mistralai/Mistral-7B-v0.1,teknium/OpenHermes-2.5-Mistral-7B,Mistral,Mistral,289,2,289,224,0.019169,0.999907,0.134747,2.124077,O/Q,2.124077,O/Q,0.000000,0.000000,32,0,32,0,0,0,0,0,,1,1,1,1
L4_mistral7b_zephyr_full_dpo,full_report,L4_mistral7b_zephyr_full_dpo.json,L4,mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,Mistral,Mistral,291,0,291,226,0.030053,0.999854,0.229281,0.878374,O/Q,0.878374,O/Q,0.000000,0.000000,32,0,32,0,0,0,0,0,,1,1,1,1
M1_qwen25_7b_to_math7b,full_report,M1_qwen25_7b_to_math7b.json,M1,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-Math-7B,Qwen,Qwen,283,56,283,198,0.951222,0.668879,0.051273,0.922553,O/Q,1.755183,O/Q,0.832630,0.902529,28,0,28,28,0,0,1,1,,1,1,1,1
M2_math7b_to_math7b_instruct,full_report,M2_math7b_to_math7b_instruct.json,M2,Qwen/Qwen2.5-Math-7B,Qwen/Qwen2.5-Math-7B-Instruct,Qwen,Qwen,283,56,283,198,0.118339,0.995897,0.064047,0.894426,O/Q,1.771964,O/Q,0.877538,0.981119,28,0,28,28,0,0,1,1,,1,1,1,1
Qwen2.5-7B_vs_Qwen2.5-Coder-7B,full_report,Qwen2.5-7B_vs_Qwen2.5-Coder-7B.json,UNPREFIXED,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-Coder-7B,Qwen,Qwen,283,56,283,198,0.861695,0.604891,0.064903,0.889928,O/Q,1.446195,O/Q,0.556267,0.625070,28,0,28,28,0,0,1,1,,1,1,1,1
Qwen3.5-27B_vs_Qwen3.5-27B-Claude-4.6-Opus-Reasoning-Distilled,full_report,Qwen3.5-27B_vs_Qwen3.5-27B-Claude-4.6-Opus-Reasoning-Distilled.json,UNPREFIXED,Qwen/Qwen3.5-27B,Jackrong/Qwen3.5-27B-Claude-4.6-Opus-Reasoning-Distilled,Qwen,Qwen,1021,178,1021,666,0.002981,0.999991,0.418818,0.725327,O/Q,0.725327,O/Q,0.000000,0.000000,17,0,17,0,0,0,0,0,,1,1,1,1
R5_qwen25_7b_to_openthinker7b,full_report,R5_qwen25_7b_to_openthinker7b.json,R5,Qwen/Qwen2.5-7B,open-thoughts/OpenThinker-7B,Qwen,open-thoughts,283,56,283,198,0.021229,0.999896,0.134753,0.917719,O/Q,1.824493,O/Q,0.906773,0.988072,28,0,28,28,0,0,1,1,,1,1,1,1
V1_mistral7b_v01_to_v03,full_report,V1_mistral7b_v01_to_v03.json,V1,mistralai/Mistral-7B-v0.1,mistralai/Mistral-7B-v0.3,Mistral,Mistral,289,2,289,224,0.127843,0.992671,0.071509,0.793193,O/Q,0.793193,O/Q,0.000000,0.000000,32,0,32,0,0,0,0,0,,1,1,1,1
V2_qwen2_1.5b_to_qwen25_1.5b,full_report,V2_qwen2_1.5b_to_qwen25_1.5b.json,V2,Qwen/Qwen2-1.5B,Qwen/Qwen2.5-1.5B,Qwen,Qwen,282,56,282,197,1.387244,0.192002,0.104456,1.025886,O/Q,1.120329,O/Q,0.094444,0.092060,28,0,28,28,0,0,1,0,,1,1,1,1
X1_yi1.5_6b_instruct,full_report,X1_yi1.5_6b_instruct.json,X1,01-ai/Yi-1.5-6B,01-ai/Yi-1.5-6B-Chat,Yi,Yi,291,0,291,226,0.193862,0.979502,0.054230,0.928555,O/Q,0.928555,O/Q,0.000000,0.000000,32,0,32,0,0,0,0,0,,1,1,1,1
X2_internlm2_7b_chat,full_report,X2_internlm2_7b_chat.json,X2,internlm/internlm2-7b,internlm/internlm2-chat-7b,InternLM,InternLM,227,0,227,162,0.215325,0.972404,0.026229,0.904810,O/QKV,0.904810,O/QKV,0.000000,0.000000,32,0,0,0,32,0,0,0,,1,1,1,1
X2_mixtral8x7b_instruct,full_report,X2_mixtral8x7b_instruct.json,X2,mistralai/Mixtral-8x7B-v0.1,mistralai/Mixtral-8x7B-Instruct-v0.1,Mistral,Mistral,995,0,995,930,0.027772,0.999943,0.146930,0.860072,O/Q,0.860072,O/Q,0.000000,0.000000,32,0,32,0,0,0,0,0,,1,1,1,1
X3_falcon7b_instruct,full_report,X3_falcon7b_instruct.json,X3,tiiuae/falcon-7b,tiiuae/falcon-7b-instruct,Falcon,Falcon,196,0,196,130,0.074508,0.998476,0.162716,0.991508,O/QKV,0.991508,O/QKV,0.000000,0.000000,32,0,0,0,32,0,0,0,,1,1,1,1
X4_qwen2_7b_to_qwen25_7b,full_report,X4_qwen2_7b_to_qwen25_7b.json,X4,Qwen/Qwen2-7B,Qwen/Qwen2.5-7B,Qwen,Qwen,283,56,283,198,0.585922,0.798578,0.052671,0.819818,O/Q,1.578446,O/Q,0.758628,0.925362,28,0,28,28,0,0,1,1,,1,1,1,1
oq_ratio_G7_llama70b_instruct_to_nemotron_70b,oq_only,oq_ratio_G7_llama70b_instruct_to_nemotron_70b.json,OQ_ONLY,meta-llama/Llama-3.1-70B-Instruct,nvidia/Llama-3.1-Nemotron-70B-Instruct,Llama,Llama,,,,,,,,1.479478,O/Q,,,,,80,0,80,0,0,0,0,0,,1,1,1,1
oq_ratio_R1_llama70b_to_r1distill_70b,oq_only,oq_ratio_R1_llama70b_to_r1distill_70b.json,OQ_ONLY,meta-llama/Llama-3.1-70B,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,Llama,Llama,,,,,,,,7.893555,O/Q,,,,,80,0,80,0,0,0,0,0,,1,1,1,1
qwen3_0.6B_base_to_posttrained,oq_only,oq_qwen3_control_scaling.json::qwen3_0.6B_base_to_posttrained,QWEN3_CTRL,Qwen/Qwen3-0.6B-Base,Qwen/Qwen3-0.6B,Qwen,Qwen,,,,,,,,0.962896,O/Q,,,,,,,,,,,,,,1,1,1,1
qwen3_1.7B_base_to_posttrained,oq_only,oq_qwen3_control_scaling.json::qwen3_1.7B_base_to_posttrained,QWEN3_CTRL,Qwen/Qwen3-1.7B-Base,Qwen/Qwen3-1.7B,Qwen,Qwen,,,,,,,,0.911998,O/Q,,,,,,,,,,,,,,1,1,1,1
qwen3_14B_base_to_posttrained,oq_only,oq_qwen3_control_scaling.json::qwen3_14B_base_to_posttrained,QWEN3_CTRL,Qwen/Qwen3-14B-Base,Qwen/Qwen3-14B,Qwen,Qwen,,,,,,,,0.817179,O/Q,,,,,,,,,,,,,,1,1,1,1
qwen3_4B_base_to_posttrained,oq_only,oq_qwen3_control_scaling.json::qwen3_4B_base_to_posttrained,QWEN3_CTRL,Qwen/Qwen3-4B-Base,Qwen/Qwen3-4B,Qwen,Qwen,,,,,,,,0.845883,O/Q,,,,,,,,,,,,,,1,1,1,1
qwen3_8B_base_to_posttrained,oq_only,oq_qwen3_control_scaling.json::qwen3_8B_base_to_posttrained,QWEN3_CTRL,Qwen/Qwen3-8B-Base,Qwen/Qwen3-8B,Qwen,Qwen,,,,,,,,0.833528,O/Q,,,,,,,,,,,,,,1,1,1,1
